,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Breakfast,Week 1,Keppa kanji + pickle,Rava Upma + Coconut Chutney,3 Uthapam + Peanut chutney + Mint Chutney,Pongal + Sambhar + Coconut Chutney,4 Idli + Sambhar + Tomato Chutney,3 Appam + Coconut Milk,4 Idli + Sambar + Onion Chutney
Lunch,Week 1,Chicken Biryani + Raita + 1 boiled egg,Veg Meals (Combo 1),Rice + Chicken Gravy + Omelette,4 Chapathi + Egg Gravy,Ghee Rice + Blood Chicken/ Beef Gravy,Meen Kolambu + Meen Fry,Veg Meals (Combo 2)
Dinner,Week 1,3 Appam + Coconut Milk,Chola Poori + Channa Masala,4 Chapathi + Dal Fry + 1 egg atho,Puttu + Meen Curry,4 Poori + Potato Kuruma + 3 Veg Kuruma,Idiyappam + Chicken Stew,4 Chapathi + Palak Panner
Breakfast,Week 2,Rava Upma + Coconut Chutney,Pongal + Sambhar + Coconut Chutney,4 Idli + Sambhar + Tomato Chutney,Pongal + Sambhar + Coconut Chutney,3 Uthapam + Peanut chutney + Mint Chutney,Keppa kanji + pickle,4 Idli + Sambar + Onion Chutney
Lunch,Week 2,Chicken Biryani + Raita + 1 boiled egg,Veg Meals (Combo 2),Rice + Chicken Gravy + Omelette,4 Chapathi + Egg Gravy,Ghee Rice + Blood Chicken/ Beef Gravy,Rice + Dal Fry + Nethili Fry,Veg Meals (Combo 1)
Dinner,Week 2,Pongal + Sambhar + Coconut Chutney,Chola Poori + Channa Masala,4 Chapathi + Dal Fry + 1 egg atho,Puttu + Meen Curry,4 Poori + Potato Kuruma + 3 Veg Kuruma,Idiyappam + Chicken Stew,4 Chapathi + Palak Panner
Breakfast,Week 3,Keppa kanji + pickle,Rava Upma + Coconut Chutney,3 Uthapam + Peanut chutney + Mint Chutney,Rava Upma + Coconut Chutney,4 Idli + Sambhar + Tomato Chutney,3 Appam + Coconut Milk,4 Idli + Sambar + Onion Chutney
Lunch,Week 3,Chicken Biryani + Raita + 1 boiled egg,Veg Meals (Combo 1),Ghee Rice + Pepper Chicken,4 Chapathi + Egg Gravy,3 Uthapam + Peanut chutney + Mint Chutney,Meen Kolambu + Meen Fry,Veg Meals (Combo 2)
Dinner,Week 3,4 Idli + Sambhar + Tomato Chutney,Chola Poori + Channa Masala,4 Chapathi + Dal Fry + 1 egg atho,Puttu + Meen Curry,4 Poori + Potato Kuruma + 3 Veg Kuruma,Idiyappam + Chicken Stew,4 Chapathi + Palak Panner
Breakfast,Week 4,3 Appam + Coconut Milk,Pongal + Sambhar + Coconut Chutney,4 Idli + Sambhar + Tomato Chutney,Pongal + Sambhar + Coconut Chutney,3 Uthapam + Peanut chutney + Mint Chutney,Keppa kanji + pickle,4 Idli + Sambar + Onion Chutney
Lunch,Week 4,Chicken Biryani + Raita + 1 boiled egg,Veg Meals (Combo 2),Rice + Chicken Gravy + Omelette,4 Chapathi + Egg Gravy,Ghee Rice + Blood Chicken/ Beef Gravy,Rice + Dal Fry + Nethili Fry,Veg Meals (Combo 1)
Dinner,Week 4,Curd Rice + Potato fry + Pickle,Chola Poori + Channa Masala,4 Chapathi + Dal Fry + 1 egg atho,Puttu + Meen Curry,4 Poori + Potato Kuruma + 3 Veg Kuruma,Idiyappam + Chicken Stew,4 Chapathi + Palak Panner